ticker,companyname,transcriptid,keydevid,headline,call_date,total_sentences,ai_sentence_count,ai_intensity,hype_period
EOG,"EOG Resources, Inc.",1864874.0,638193032.0,"EOG Resources, Inc., Q3 2019 Earnings Call, Nov 07, 2019",2019-11-07,520,0,0.0,2019 Pre-Pandemic Baseline
EPAM,"EPAM Systems, Inc.",1659273.0,598438883.0,"EPAM Systems, Inc., Q4 2018 Earnings Call, Feb 14, 2019",2019-02-14,394,1,0.0025380710659898,2019 Pre-Pandemic Baseline
EPAM,"EPAM Systems, Inc.",1740906.0,609771168.0,"EPAM Systems, Inc., Q1 2019 Earnings Call, May 09, 2019",2019-05-09,449,1,0.0022271714922048,2019 Pre-Pandemic Baseline
EPAM,"EPAM Systems, Inc.",1803457.0,628845115.0,"EPAM Systems, Inc., Q2 2019 Earnings Call, Aug 08, 2019",2019-08-08,482,0,0.0,2019 Pre-Pandemic Baseline
EPAM,"EPAM Systems, Inc.",1861839.0,639833918.0,"EPAM Systems, Inc., Q3 2019 Earnings Call, Nov 07, 2019",2019-11-07,456,0,0.0,2019 Pre-Pandemic Baseline
EQT,EQT AB (publ),1893309.0,641697462.0,"EQT AB, Q3 2019 Earnings Call, Nov 05, 2019",2019-11-05,315,0,0.0,2019 Pre-Pandemic Baseline
EQT,EQT Corporation,1659507.0,600424362.0,"EQT Corporation, Q4 2018 Earnings Call, Feb 14, 2019",2019-02-14,368,0,0.0,2019 Pre-Pandemic Baseline
EQT,EQT Corporation,1708959.0,600424513.0,"EQT Corporation, Q1 2019 Earnings Call, Apr 25, 2019",2019-04-25,411,0,0.0,2019 Pre-Pandemic Baseline
EQT,EQT Corporation,1784477.0,608819042.0,"EQT Corporation, Q2 2019 Earnings Call, Jul 25, 2019",2019-07-25,622,0,0.0,2019 Pre-Pandemic Baseline
EQT,EQT Corporation,1868599.0,600424458.0,"EQT Corporation, Q3 2019 Earnings Call, Oct 31, 2019",2019-10-31,437,0,0.0,2019 Pre-Pandemic Baseline
EFX,Equifax Inc.,1668317.0,603137358.0,"Equifax Inc., Q4 2018 Earnings Call, Feb 21, 2019",2019-02-21,850,2,0.0023529411764705,2019 Pre-Pandemic Baseline
EFX,Equifax Inc.,1735516.0,611392611.0,"Equifax Inc., Q1 2019 Earnings Call, May 10, 2019",2019-05-10,763,3,0.0039318479685452,2019 Pre-Pandemic Baseline
EFX,Equifax Inc.,1781392.0,630399980.0,"Equifax Inc., Q2 2019 Earnings Call, Jul 25, 2019",2019-07-25,682,0,0.0,2019 Pre-Pandemic Baseline
EFX,Equifax Inc.,1842359.0,640507949.0,"Equifax Inc., Q3 2019 Earnings Call, Oct 24, 2019",2019-10-24,760,1,0.0013157894736842,2019 Pre-Pandemic Baseline
EQIX,"Equinix, Inc.",1658273.0,598409865.0,"Equinix, Inc. (REIT), Equinix, Inc., Q4 2018 Earnings Call, Feb 13, 2019",2019-02-13,488,1,0.0020491803278688,2019 Pre-Pandemic Baseline
EQIX,"Equinix, Inc.",2987661.0,608956695.0,"Equinix, Inc. (REIT), Equinix, Inc., Q1 2019 Earnings Call, May 01, 2019",2019-05-01,489,1,0.0020449897750511,2019 Pre-Pandemic Baseline
EQIX,"Equinix, Inc.",1813353.0,626659197.0,"Equinix, Inc. (REIT), Equinix, Inc., Q2 2019 Earnings Call, Jul 31, 2019",2019-07-31,507,0,0.0,2019 Pre-Pandemic Baseline
EQIX,"Equinix, Inc.",1860745.0,639264977.0,"Equinix, Inc. (REIT), Equinix, Inc., Q3 2019 Earnings Call, Oct 30, 2019",2019-10-30,512,1,0.001953125,2019 Pre-Pandemic Baseline
EQR,Equity Residential,1644870.0,588143817.0,"Equity Residential, Q4 2018 Earnings Call, Jan 30, 2019",2019-01-30,752,0,0.0,2019 Pre-Pandemic Baseline
EQR,Equity Residential,1722091.0,600198476.0,"Equity Residential, Q1 2019 Earnings Call, May 01, 2019",2019-05-01,600,1,0.0016666666666666,2019 Pre-Pandemic Baseline
EQR,Equity Residential,1791500.0,612079013.0,"Equity Residential, Q2 2019 Earnings Call, Jul 31, 2019",2019-07-31,615,2,0.0032520325203252,2019 Pre-Pandemic Baseline
EQR,Equity Residential,1841850.0,631409410.0,"Equity Residential, Q3 2019 Earnings Call, Oct 23, 2019",2019-10-23,789,1,0.0012674271229404,2019 Pre-Pandemic Baseline
ESS,"Essex Property Trust, Inc.",1644840.0,597021150.0,"Essex Property Trust, Inc., Q4 2018 Earnings Call, Jan 31, 2019",2019-01-31,539,0,0.0,2019 Pre-Pandemic Baseline
ESS,"Essex Property Trust, Inc.",1711267.0,608383834.0,"Essex Property Trust, Inc., Q1 2019 Earnings Call, Apr 25, 2019",2019-04-25,736,0,0.0,2019 Pre-Pandemic Baseline
ESS,"Essex Property Trust, Inc.",1782689.0,626374774.0,"Essex Property Trust, Inc., Q2 2019 Earnings Call, Jul 25, 2019",2019-07-25,568,0,0.0,2019 Pre-Pandemic Baseline
ESS,"Essex Property Trust, Inc.",1865195.0,639081781.0,"Essex Property Trust, Inc., Q3 2019 Earnings Call, Oct 24, 2019",2019-10-24,690,0,0.0,2019 Pre-Pandemic Baseline
EVRG,"Evergy, Inc.",1667682.0,599417470.0,"Evergy, Inc., Q4 2018 Earnings Call, Feb 22, 2019",2019-02-22,549,0,0.0,2019 Pre-Pandemic Baseline
EVRG,"Evergy, Inc.",1734070.0,611075209.0,"Evergy, Inc., Q1 2019 Earnings Call, May 09, 2019",2019-05-09,267,0,0.0,2019 Pre-Pandemic Baseline
EVRG,"Evergy, Inc.",1805842.0,629944278.0,"Evergy, Inc., Q2 2019 Earnings Call, Aug 08, 2019",2019-08-08,398,0,0.0,2019 Pre-Pandemic Baseline
EVRG,"Evergy, Inc.",1863770.0,641058694.0,"Evergy, Inc., Q3 2019 Earnings Call, Nov 07, 2019",2019-11-07,549,0,0.0,2019 Pre-Pandemic Baseline
ES,Eversource Energy,1667178.0,601902570.0,"Eversource Energy, Q4 2018 Earnings Call, Feb 21, 2019",2019-02-21,597,0,0.0,2019 Pre-Pandemic Baseline
ES,Eversource Energy,1725004.0,611305596.0,"Eversource Energy, Q1 2019 Earnings Call, May 02, 2019",2019-05-02,284,0,0.0,2019 Pre-Pandemic Baseline
ES,Eversource Energy,1794130.0,630411719.0,"Eversource Energy, Q2 2019 Earnings Call, Aug 01, 2019",2019-08-01,377,0,0.0,2019 Pre-Pandemic Baseline
ES,Eversource Energy,1863474.0,641236612.0,"Eversource Energy, Q3 2019 Earnings Call, Nov 06, 2019",2019-11-06,416,0,0.0,2019 Pre-Pandemic Baseline
EXPE,"Expedia Group, Inc.",1652138.0,594803881.0,"Expedia Group, Inc., Q4 2018 Earnings Call, Feb 07, 2019",2019-02-07,500,0,0.0,2019 Pre-Pandemic Baseline
EXPE,"Expedia Group, Inc.",1727136.0,607670745.0,"Expedia Group, Inc., Q1 2019 Earnings Call, May 02, 2019",2019-05-02,453,0,0.0,2019 Pre-Pandemic Baseline
EXPE,"Expedia Group, Inc.",1825809.0,629095213.0,"Expedia Group, Inc., Q2 2019 Earnings Call, Jul 25, 2019",2019-07-25,445,2,0.0044943820224719,2019 Pre-Pandemic Baseline
EXPE,"Expedia Group, Inc.",1871824.0,640605980.0,"Expedia Group, Inc., Q3 2019 Earnings Call, Nov 06, 2019",2019-11-06,491,0,0.0,2019 Pre-Pandemic Baseline
EXE,Extendicare Inc.,1679825.0,600165731.0,"Extendicare Inc., Q4 2018 Earnings Call, Mar 01, 2019",2019-03-01,479,0,0.0,2019 Pre-Pandemic Baseline
EXE,Extendicare Inc.,1763610.0,611902077.0,"Extendicare Inc., Q1 2019 Earnings Call, May 15, 2019",2019-05-15,423,0,0.0,2019 Pre-Pandemic Baseline
EXE,Extendicare Inc.,1818561.0,629272244.0,"Extendicare Inc., Q2 2019 Earnings Call, Aug 15, 2019",2019-08-15,369,0,0.0,2019 Pre-Pandemic Baseline
EXE,Extendicare Inc.,1874664.0,639937221.0,"Extendicare Inc., Q3 2019 Earnings Call, Nov 08, 2019",2019-11-08,391,0,0.0,2019 Pre-Pandemic Baseline
EXR,Extra Space Storage Inc.,1668054.0,600093695.0,"Extra Space Storage Inc., Q4 2018 Earnings Call, Feb 21, 2019",2019-02-21,334,0,0.0,2019 Pre-Pandemic Baseline
EXR,Extra Space Storage Inc.,1722170.0,610239921.0,"Extra Space Storage Inc., Q1 2019 Earnings Call, May 01, 2019",2019-05-01,338,0,0.0,2019 Pre-Pandemic Baseline
EXR,Extra Space Storage Inc.,1809278.0,626752756.0,"Extra Space Storage Inc., Q2 2019 Earnings Call, Jul 31, 2019",2019-07-31,319,0,0.0,2019 Pre-Pandemic Baseline
EXR,Extra Space Storage Inc.,1854703.0,639419670.0,"Extra Space Storage Inc., Q3 2019 Earnings Call, Oct 30, 2019",2019-10-30,407,0,0.0,2019 Pre-Pandemic Baseline
FFIV,"F5, Inc.",1640399.0,582513176.0,"F5 Networks, Inc., Q1 2019 Earnings Call, Jan 23, 2019",2019-01-23,415,1,0.0024096385542168,2019 Pre-Pandemic Baseline
FFIV,"F5, Inc.",1707432.0,582513189.0,"F5 Networks, Inc., Q2 2019 Earnings Call, Apr 24, 2019",2019-04-24,398,0,0.0,2019 Pre-Pandemic Baseline
FFIV,"F5, Inc.",1782774.0,582513202.0,"F5 Networks, Inc., Q3 2019 Earnings Call, Jul 24, 2019",2019-07-24,437,0,0.0,2019 Pre-Pandemic Baseline
FFIV,"F5, Inc.",1842558.0,582513209.0,"F5 Networks, Inc., Q4 2019 Earnings Call, Oct 23, 2019",2019-10-23,468,0,0.0,2019 Pre-Pandemic Baseline
FDS,FactSet Research Systems Inc.,1693960.0,604331383.0,"FactSet Research Systems Inc., Q2 2019 Earnings Call, Mar 26, 2019",2019-03-26,495,0,0.0,2019 Pre-Pandemic Baseline
FDS,FactSet Research Systems Inc.,1767651.0,616276095.0,"FactSet Research Systems Inc., Q3 2019 Earnings Call, Jun 25, 2019",2019-06-25,536,0,0.0,2019 Pre-Pandemic Baseline
FDS,FactSet Research Systems Inc.,1832443.0,634956696.0,"FactSet Research Systems Inc., Q4 2019 Earnings Call, Sep 26, 2019",2019-09-26,649,1,0.0015408320493066,2019 Pre-Pandemic Baseline
FDS,FactSet Research Systems Inc.,1887283.0,645114569.0,"FactSet Research Systems Inc., Q1 2020 Earnings Call, Dec 19, 2019",2019-12-19,518,0,0.0,2019 Pre-Pandemic Baseline
FICO,Fair Isaac Corporation,1643796.0,599414659.0,"Fair Isaac Corporation, Q1 2019 Earnings Call, Jan 30, 2019",2019-01-30,248,0,0.0,2019 Pre-Pandemic Baseline
FICO,Fair Isaac Corporation,1718095.0,611153010.0,"Fair Isaac Corporation, Q2 2019 Earnings Call, Apr 30, 2019",2019-04-30,232,1,0.0043103448275862,2019 Pre-Pandemic Baseline
FICO,Fair Isaac Corporation,1813249.0,629960780.0,"Fair Isaac Corporation, Q3 2019 Earnings Call, Jul 31, 2019",2019-07-31,301,0,0.0,2019 Pre-Pandemic Baseline
FICO,Fair Isaac Corporation,1856637.0,641634029.0,"Fair Isaac Corporation, Q4 2019 Earnings Call, Nov 04, 2019",2019-11-04,290,1,0.0034482758620689,2019 Pre-Pandemic Baseline
FAST,Fastenal Company,1637492.0,596879803.0,"Fastenal Company, Q4 2018 Earnings Call, Jan 17, 2019",2019-01-17,573,0,0.0,2019 Pre-Pandemic Baseline
FAST,Fastenal Company,1699056.0,607679156.0,"Fastenal Company, Q1 2019 Earnings Call, Apr 11, 2019",2019-04-11,586,0,0.0,2019 Pre-Pandemic Baseline
FAST,Fastenal Company,1771919.0,625896894.0,"Fastenal Company, Q2 2019 Earnings Call, Jul 11, 2019",2019-07-11,516,0,0.0,2019 Pre-Pandemic Baseline
FAST,Fastenal Company,1833057.0,635670816.0,"Fastenal Company, Q3 2019 Earnings Call, Oct 11, 2019",2019-10-11,566,0,0.0,2019 Pre-Pandemic Baseline
